,date,open,close,high,low,volume,code
563,2020-04-28,1205.407,1199.227,1220.037,1191.977,34662.0,600519
564,2020-04-29,1197.897,1194.997,1208.197,1178.097,23444.0,600519
565,2020-04-30,1191.097,1185.797,1205.107,1178.977,24661.0,600519
566,2020-05-06,1171.097,1220.097,1220.097,1170.097,35835.0,600519
567,2020-05-07,1219.497,1232.097,1235.087,1213.097,27935.0,600519
568,2020-05-08,1237.097,1234.707,1258.097,1228.607,29079.0,600519
569,2020-05-11,1240.097,1243.107,1255.097,1233.767,23671.0,600519
570,2020-05-12,1238.097,1253.097,1255.087,1236.097,19722.0,600519
571,2020-05-13,1253.097,1256.047,1258.087,1242.977,22014.0,600519
572,2020-05-14,1250.097,1246.687,1254.977,1245.207,18575.0,600519
573,2020-05-15,1249.097,1233.097,1253.597,1221.977,26398.0,600519
574,2020-05-18,1226.097,1266.307,1271.597,1225.227,34362.0,600519
575,2020-05-19,1284.097,1266.207,1284.097,1258.097,24787.0,600519
576,2020-05-20,1266.207,1271.097,1279.277,1256.907,21183.0,600519
577,2020-05-21,1275.097,1286.197,1292.057,1272.957,23052.0,600519
578,2020-05-22,1286.097,1248.297,1286.197,1242.977,34427.0,600519
579,2020-05-25,1250.097,1282.997,1286.677,1241.097,31561.0,600519
580,2020-05-26,1289.977,1278.097,1290.047,1275.097,22470.0,600519
581,2020-05-27,1279.097,1258.097,1280.097,1253.097,26777.0,600519
582,2020-05-28,1258.067,1264.097,1267.037,1241.227,26486.0,600519
583,2020-05-29,1252.197,1286.697,1290.077,1252.197,30444.0,600519
584,2020-06-01,1301.097,1339.597,1340.197,1301.097,35480.0,600519
585,2020-06-02,1336.107,1330.807,1347.997,1326.757,25960.0,600519
586,2020-06-03,1335.097,1319.397,1337.597,1315.867,23557.0,600519
587,2020-06-04,1316.097,1328.087,1331.097,1316.097,18037.0,600519
588,2020-06-05,1325.347,1345.097,1348.977,1321.177,18347.0,600519
589,2020-06-08,1345.097,1326.197,1355.097,1322.107,29300.0,600519
590,2020-06-09,1328.097,1336.647,1345.097,1320.777,22612.0,600519
591,2020-06-10,1345.097,1343.757,1353.427,1337.097,22701.0,600519
